CV_ID,Model,Relevant definition,Predicted ranking,Precision@1,Recall@1,MAP@1,NDCG@1,Precision@3,Recall@3,MAP@3,NDCG@3,Precision@5,Recall@5,MAP@5,NDCG@5,MRR
6,Hybrid model,expert top3 union,"[5, 4, 3, 1, 2]",0.0,0.0,0.0,0.0,0.3333,0.3333,0.1111,0.2346,0.6,1.0,0.4778,0.6183,0.3333
7,TF-IDF baseline,expert top1 union,"[5, 2, 1, 4, 3]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.325,0.5013,0.25
7,TF-IDF baseline,expert top3 union,"[5, 2, 1, 4, 3]",0.0,0.0,0.0,0.0,0.6667,0.5,0.3889,0.5307,0.8,1.0,0.6792,0.7606,0.5
7,Hybrid model,expert top1 union,"[5, 4, 3, 1, 2]",0.0,0.0,0.0,0.0,0.6667,1.0,0.5833,0.6934,0.4,1.0,0.5833,0.6934,0.5
7,Hybrid model,expert top3 union,"[5, 4, 3, 1, 2]",0.0,0.0,0.0,0.0,0.6667,0.5,0.3889,0.5307,0.8,1.0,0.6792,0.7606,0.5
8,TF-IDF baseline,expert top1 union,"[5, 1, 4, 2, 3]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.25,0.4307,0.25
8,TF-IDF baseline,expert top3 union,"[5, 1, 4, 2, 3]",0.0,0.0,0.0,0.0,0.3333,0.3333,0.1111,0.2346,0.6,1.0,0.4778,0.6183,0.3333
8,Hybrid model,expert top1 union,"[4, 3, 5, 1, 2]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.2,0.3869,0.2
8,Hybrid model,expert top3 union,"[4, 3, 5, 1, 2]",1.0,0.3333,1.0,1.0,0.6667,0.6667,0.6667,0.7654,0.6,1.0,0.8667,0.9469,1.0
9,TF-IDF baseline,expert top1 union,"[2, 5, 1, 4, 3]",0.0,0.0,0.0,0.0,0.3333,0.5,0.1667,0.3066,0.4,1.0,0.3667,0.5438,0.3333
9,TF-IDF baseline,expert top3 union,"[2, 5, 1, 4, 3]",1.0,0.2,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,Hybrid model,expert top1 union,"[4, 1, 3, 5, 2]",0.0,0.0,0.0,0.0,0.6667,1.0,0.5833,0.6934,0.4,1.0,0.5833,0.6934,0.5
9,Hybrid model,expert top3 union,"[4, 1, 3, 5, 2]",1.0,0.2,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,TF-IDF baseline,expert top1 union,"[5, 2, 1, 4, 3]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.325,0.5013,0.25
10,TF-IDF baseline,expert top3 union,"[5, 2, 1, 4, 3]",0.0,0.0,0.0,0.0,0.6667,0.5,0.3889,0.5307,0.8,1.0,0.6792,0.7606,0.5
